ID;Region;R;G;B;A
NA;"""Medial Wall""";0;0;0;0
1;" ""motor-premotor""";0;0;255;0
2;" ""dorsolateral prefrontal""";255;222;194;0
3;" ""dorsomedial frontal""";255;255;0;0
4;" ""orbitofrontal""";255;54;198;0
5;" ""pars opercularis,subcentral""";235;164;255;0
6;" ""superior temporal""";0;255;251;0
7;" ""posterolateral temporal""";255;162;0;0
8;" ""anteromedial temporal""";106;0;157;0
9;" ""inferior parietal""";194;255;90;0
10;" ""superior parietal""";0;167;9;0
11;"""precuneus""";149;19;0;0
12;" ""occipital""";255;0;0;0
