filename,annot,
lh.gclust_area.annot.ply,lh.gclust_area.annot,ChenCorr
lh.LCBC_roi.0001.ply,cluster1,NaN
lh.LCBC_roi.0002.ply,cluster2,1
lh.LCBC_roi.0003.ply,cluster3,12
lh.LCBC_roi.0004.ply,cluster4,7
lh.LCBC_roi.0005.ply,cluster5,10
lh.LCBC_roi.0006.ply,cluster6,4
lh.LCBC_roi.0007.ply,cluster7,6
lh.LCBC_roi.0008.ply,cluster8,9
lh.LCBC_roi.0009.ply,cluster9,3
lh.LCBC_roi.0010.ply,cluster10,8
lh.LCBC_roi.0011.ply,cluster11,11
lh.LCBC_roi.0012.ply,cluster12,12
lh.LCBC_roi.0013.ply,cluster13,13
